,score_diff,seconds_remaining,home_efg,away_efg,turnover_diff,home_rebound_rate,required_catchup_rate,home_team_season_off_rtg,home_team_season_def_rtg,home_team_season_win_pct,home_team_recent_off_rtg,home_team_recent_def_rtg,home_team_recent_win_pct,home_rest_days,home_is_home,away_team_season_off_rtg,away_team_season_def_rtg,away_team_season_win_pct,away_team_recent_off_rtg,away_team_recent_def_rtg,away_team_recent_win_pct,away_rest_days,away_is_home,home_roster_season_est_off_rating,home_roster_season_est_def_rating,home_roster_season_pie,home_roster_season_est_usg_pct,home_roster_recent_est_off_rating,home_roster_recent_est_def_rating,home_roster_recent_pie,home_roster_recent_est_usg_pct,away_roster_season_est_off_rating,away_roster_season_est_def_rating,away_roster_season_pie,away_roster_season_est_usg_pct,away_roster_recent_est_off_rating,away_roster_recent_est_def_rating,away_roster_recent_pie,away_roster_recent_est_usg_pct
score_diff,1.0,-0.050118515591753385,,,,,0.026098429839214614,0.023206651571638974,-0.062153007254430695,0.18246674957000453,0.024105586666994,-0.07024147999977978,0.19529387853042168,0.04905493135717596,,-0.03463610408895218,0.035775377567721894,-0.15240129059144839,-0.03927659196781163,0.03492210022899086,-0.14410428908783035,-0.007300128515362026,,0.07836122146554796,0.012332902288468712,0.10194334187775601,0.03834297820056778,0.08964821987065184,0.009789902330449293,0.1176701002645256,0.04170243098866471,-0.05735351460366221,0.00524870666342722,-0.08806791276522326,-0.03340209274513074,-0.06113468555841267,0.009063516444694301,-0.10953575200090516,-0.03984955111260102
seconds_remaining,-0.050118515591753385,1.0,,,,,-0.1066145530662343,0.013830939334789606,0.010858714664605394,0.005321915659329171,0.012756147456915895,0.010617679013470594,0.00551927831450331,0.005441846189073612,,0.025630568187949548,0.02481827391905522,0.022482780166732677,0.024000030325693374,0.024360117975415287,0.019860961629452497,-0.00525754603540963,,-0.012905884486294985,-0.011107505027174972,-0.016691583780107554,-0.006927086178343093,-0.013465418441184608,-0.011157613391906051,-0.01747040257787355,-0.007459597955759282,0.0009843750727464573,-0.0019022306851361882,0.0010856476556606602,0.0006159107464271261,0.00011996371549058319,-0.0023628270196862176,-0.0025619800235320077,0.0006726684282530792
home_efg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
away_efg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turnover_diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
home_rebound_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
required_catchup_rate,0.026098429839214614,-0.1066145530662343,,,,,1.0,0.005033072321555988,0.0007210411455436074,0.012621591329109722,0.006656911584538769,0.0011729673845583548,0.015346873144906657,-0.009479138667846257,,-0.002271489510449492,-0.003524363084266795,0.0054107631379748024,-0.004103268876179172,-0.0031038578931962477,0.008501638866822554,0.0017335853493477443,,0.0038124006890857417,0.007434907601669762,0.007041440139885136,0.00719261460955505,0.004356268871091853,0.006055639835689996,0.01696189337452968,0.005249945234845015,-0.0007645277163373694,0.001950668339760806,5.80846058246443e-05,-0.00048058656816395823,0.005151301970473363,0.005908717340009617,0.008376633944340418,0.005840335163359661
home_team_season_off_rtg,0.023206651571638974,0.013830939334789606,,,,,0.005033072321555988,1.0,0.9343886189855451,0.524260229281644,0.9947132340583643,0.927558107883863,0.4924895605071518,-0.10704543480417521,,0.8379739887935144,0.8320329822940182,0.3308353007168838,0.8331983777369808,0.8259691357686005,0.3107305063183128,-0.10927964141255408,,0.5412882621133798,0.5123520035877135,0.4812695396599217,0.5193205828465383,0.5355812990016319,0.5025726399732604,0.46988609641491774,0.5175026869948701,0.41205955418942564,0.43074054621588614,0.36166440678356054,0.4197700540166369,0.4154633830159857,0.42957881725772107,0.35439959653154646,0.42501207947696523
home_team_season_def_rtg,-0.062153007254430695,0.010858714664605394,,,,,0.0007210411455436074,0.9343886189855451,1.0,0.22574465205963018,0.9309478640325742,0.9955656726640637,0.21025675300711058,-0.14238889782352876,,0.8414345163569242,0.8385468191816906,0.3240178283561393,0.8378274123689892,0.8317099585579196,0.30669666396822914,-0.12951650437324594,,0.5030277856503186,0.5516970226405116,0.4073667923034821,0.5260438697634663,0.4874698458459151,0.5379713729233765,0.38418662649863144,0.5191646245480984,0.4402650746600809,0.4518050656223627,0.3861501078025547,0.439080184901614,0.4412558957684947,0.4474282019498407,0.379436917183232,0.44319109523796973
home_team_season_win_pct,0.18246674957000453,0.005321915659329171,,,,,0.012621591329109722,0.524260229281644,0.22574465205963018,1.0,0.5151526545677118,0.21787826829558388,0.9423472616211518,0.026088470712503656,,0.307805722759045,0.30491502432535716,0.12446829641100252,0.3034401313619203,0.3039858716829545,0.11215853578358123,0.0088521983672988,,0.2934965981148481,0.11855529940015265,0.3476766320917415,0.20441295523015343,0.3137085985503832,0.12241441877668749,0.3724231128278546,0.21659388314553893,0.09898681103534446,0.13079542985580886,0.08625188617222676,0.1310254415186118,0.10139552239218519,0.13390923270802568,0.07735151127287339,0.13145732378544203
