trade_id,timestamp,ticker,game_id,side,order_price,fill_price,size,model_fair_value,model_ci_lower,model_ci_upper,market_spread,seconds_remaining,position_before,position_after,realized_pnl,status,created_at,filled_at,closed_at,edge,edge_pct,ci_width,mins_remaining,spread_line,matchup
1526,2025-12-07 18:13:05,KXNBASPREAD-25DEC07ORLNYK-ORL4,25DEC07ORL,sell,28.0,,7,16.873349406778893,0.13432991041987707,0.21608818501527916,9.0,1496,0,,,placed,2025-12-07 18:13:05,,,11.126650593221107,39.73803783293253,0.08175827459540208,24.933333333333334,4,ORLNY vs K
1527,2025-12-07 18:20:01,KXNBASPREAD-25DEC07ORLNYK-NYK2,25DEC07ORL,sell,53.0,,2,32.03504768744506,0.24877578417030877,0.39328527075172903,13.0,1440,0,,,placed,2025-12-07 18:20:01,,,20.964952312554942,39.556513797273475,0.14450948658142027,24.0,2,ORLNY vs K
1528,2025-12-07 18:20:01,KXNBASPREAD-25DEC07ORLNYK-NYK5,25DEC07ORL,sell,40.0,,3,19.866374726697924,0.14028874546444886,0.26103524790464466,13.0,1440,0,,,placed,2025-12-07 18:20:01,,,20.133625273302076,50.334063183255196,0.1207465024401958,24.0,5,ORLNY vs K
1529,2025-12-07 18:20:02,KXNBASPREAD-25DEC07ORLNYK-NYK8,25DEC07ORL,sell,29.0,,6,11.027339828315268,0.06963349055409504,0.15632823851187,4.0,1440,0,,,placed,2025-12-07 18:20:02,,,17.97266017168473,61.974690247188725,0.08669474795777496,24.0,8,ORLNY vs K
1530,2025-12-07 18:21:38,KXNBASPREAD-25DEC07ORLNYK-NYK5,25DEC07ORL,sell,40.0,,3,19.866374726697924,0.14028874546444886,0.26103524790464466,13.0,1440,0,,,placed,2025-12-07 18:21:38,,,20.133625273302076,50.334063183255196,0.1207465024401958,24.0,5,ORLNY vs K
1531,2025-12-07 18:21:38,KXNBASPREAD-25DEC07ORLNYK-NYK2,25DEC07ORL,sell,50.0,50.0,2,32.03504768744506,0.24877578417030877,0.39328527075172903,10.0,1440,0,-2.0,-1.01,closed,2025-12-07 18:21:38,2025-12-07 13:21:53.405237,2025-12-07 14:56:36.098165,17.964952312554942,35.929904625109884,0.14450948658142027,24.0,2,ORLNY vs K
1532,2025-12-07 18:21:38,KXNBASPREAD-25DEC07ORLNYK-NYK8,25DEC07ORL,sell,28.0,,6,11.027339828315268,0.06963349055409504,0.15632823851187,3.0,1440,0,,,placed,2025-12-07 18:21:38,,,16.97266017168473,60.61664347030261,0.08669474795777496,24.0,8,ORLNY vs K
1533,2025-12-07 18:21:56,KXNBASPREAD-25DEC07ORLNYK-NYK2,25DEC07ORL,sell,52.0,,1,32.03504768744506,0.24877578417030877,0.39328527075172903,3.0,1440,-2,,,placed,2025-12-07 18:21:56,,,19.964952312554942,38.39413906260566,0.14450948658142027,24.0,2,ORLNY vs K
1534,2025-12-07 18:21:56,KXNBASPREAD-25DEC07ORLNYK-NYK11,25DEC07ORL,sell,20.0,,10,5.450505734174725,0.030719514560609652,0.0839117815883611,9.0,1440,0,,,placed,2025-12-07 18:21:56,,,14.549494265825274,72.74747132912637,0.05319226702775145,24.0,11,ORLNY vs K
1535,2025-12-07 18:22:32,KXNBASPREAD-25DEC07ORLNYK-NYK2,25DEC07ORL,sell,52.0,,1,32.03504768744506,0.24877578417030877,0.39328527075172903,3.0,1440,-2,,,placed,2025-12-07 18:22:32,,,19.964952312554942,38.39413906260566,0.14450948658142027,24.0,2,ORLNY vs K
